keys,en,de,fr,it,es,pt,nl,pl,tr,cs,sk,sv,da,nb,fi,hu,ro,ru,uk,el,id,vi
T_TAGLINE,"Claim the arena.","Erobere die Arena.","Conquiers l'arène.","Conquista l'arena.","Conquista la arena.","Conquiste a arena.","Verover de arena.","Podbij arenę.","Arenayı fethet.","Ovládni arénu.","Ovládni arénu.","Erövra arenan.","Erobr arenaen.","Erobre arenaen.","Valloita areena.","Hódítsd meg az arénát!","Cucerește arena.","Захвати арену.","Захопи арену.","Κατάκτησε την αρένα.","Kuasai arena.","Chiếm lĩnh đấu trường."
T_PLAY,"Play","Spielen","Jouer","Gioca","Jugar","Jogar","Spelen","Graj","Oyna","Hrát","Hrať","Spela","Spil","Spill","Pelaa","Játék","Joacă","Играть","Грати","Παίξε","Main","Chơi"
T_SHOP,"Skins","Skins","Skins","Skin","Skins","Skins","Skins","Skiny","Kostümler","Skiny","Skiny","Skins","Skins","Skins","Ulkoasut","Kinézetek","Skinuri","Скины","Скіни","Εμφανίσεις","Skin","Trang phục"
T_SETTINGS,"Settings","Einstellungen","Réglages","Impostazioni","Ajustes","Configurações","Instellingen","Ustawienia","Ayarlar","Nastavení","Nastavenia","Inställningar","Indstillinger","Innstillinger","Asetukset","Beállítások","Setări","Настройки","Налаштування","Ρυθμίσεις","Pengaturan","Cài đặt"
T_HELP,"How to play","So wird gespielt","Comment jouer","Come si gioca","Cómo jugar","Como jogar","Zo speel je","Jak grać","Nasıl oynanır","Jak hrát","Ako hrať","Så spelar du","Sådan spiller du","Slik spiller du","Näin pelaat","Hogyan játssz","Cum se joacă","Как играть","Як грати","Πώς παίζεται","Cara bermain","Cách chơi"
T_BACK,"Back","Zurück","Retour","Indietro","Atrás","Voltar","Terug","Wstecz","Geri","Zpět","Späť","Tillbaka","Tilbage","Tilbake","Takaisin","Vissza","Înapoi","Назад","Назад","Πίσω","Kembali","Quay lại"
T_OK,"OK","OK","OK","OK","OK","OK","OK","OK","Tamam","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","Oke","OK"
T_RESUME,"Resume","Weiter","Reprendre","Riprendi","Continuar","Continuar","Doorgaan","Wznów","Devam et","Pokračovat","Pokračovať","Fortsätt","Fortsæt","Fortsett","Jatka","Folytatás","Continuă","Продолжить","Продовжити","Συνέχεια","Lanjut","Tiếp tục"
T_HOME,"Menu","Menü","Menu","Menu","Menú","Menu","Menu","Menu","Menü","Menu","Menu","Meny","Menu","Meny","Valikko","Menü","Meniu","Меню","Меню","Μενού","Menu","Menu"
T_RETRY,"Play again","Nochmal","Rejouer","Rigioca","Otra vez","Jogar de novo","Opnieuw","Jeszcze raz","Tekrar oyna","Hrát znovu","Hrať znova","Spela igen","Spil igen","Spill igjen","Pelaa uudestaan","Újra","Din nou","Ещё раз","Ще раз","Ξανά","Main lagi","Chơi lại"
T_PAUSED,"Paused","Pause","Pause","In pausa","Pausa","Pausado","Gepauzeerd","Pauza","Duraklatıldı","Pozastaveno","Pozastavené","Pausad","Pause","Pause","Tauko","Szünet","Pauză","Пауза","Пауза","Παύση","Jeda","Tạm dừng"
T_BEST,"Best","Rekord","Record","Record","Récord","Recorde","Record","Rekord","Rekor","Rekord","Rekord","Rekord","Rekord","Rekord","Ennätys","Rekord","Record","Рекорд","Рекорд","Ρεκόρ","Rekor","Kỷ lục"
T_YOU,"You","Du","Toi","Tu","Tú","Você","Jij","Ty","Sen","Ty","Ty","Du","Du","Du","Sinä","Te","Tu","Ты","Ти","Εσύ","Kamu","Bạn"
T_GO,"GO!","LOS!","GO !","VIA!","¡VAMOS!","VAI!","GO!","START!","BAŞLA!","START!","ŠTART!","KÖR!","GO!","KJØR!","NYT!","RAJT!","START!","ВПЕРЁД!","ВПЕРЕД!","ΠΑΜΕ!","AYO!","BẮT ĐẦU!"
T_RES_WIN,"Arena conquered!","Arena erobert!","Arène conquise !","Arena conquistata!","¡Arena conquistada!","Arena conquistada!","Arena veroverd!","Arena podbita!","Arena fethedildi!","Aréna ovládnuta!","Aréna ovládnutá!","Arenan erövrad!","Arenaen erobret!","Arenaen erobret!","Areena vallattu!","Az aréna a tiéd!","Arena cucerită!","Арена захвачена!","Арену захоплено!","Η αρένα κατακτήθηκε!","Arena dikuasai!","Đã chiếm được đấu trường!"
T_RES_SELF,"You crossed your own line.","Du hast deine eigene Linie gekreuzt.","Tu as coupé ta propre ligne.","Hai tagliato la tua stessa scia.","Cruzaste tu propia línea.","Você cruzou a própria linha.","Je raakte je eigen lijn.","Przeciąłeś własną linię.","Kendi çizgine çarptın.","Přejel jsi vlastní čáru.","Prešiel si vlastnú čiaru.","Du korsade din egen linje.","Du ramte din egen linje.","Du krysset din egen linje.","Osuit omaan viivaasi.","Átmentél a saját vonaladon.","Ți-ai tăiat propria linie.","Ты пересёк свою же линию.","Ти перетнув власну лінію.","Πέρασες τη δική σου γραμμή.","Kamu memotong garismu sendiri.","Bạn đã cắt vào đường của chính mình."
T_RES_KILLED,"Caught by %s","Erwischt von %s","Attrapé par %s","Preso da %s","Atrapado por %s","Pego por %s","Gepakt door %s","Złapał cię %s","%s seni yakaladı","Dostal tě %s","Dostal ťa %s","Fångad av %s","Fanget af %s","Tatt av %s","%s nappasi sinut","Elkapott: %s","Prins de %s","Тебя поймал %s","Тебе спіймав %s","Σε έπιασε ο %s","Tertangkap oleh %s","Bị %s hạ gục"
T_RES_WALL,"You hit the wall.","Du bist in die Wand gefahren.","Tu as percuté le mur.","Hai colpito il muro.","Chocaste contra el muro.","Você bateu na parede.","Je raakte de muur.","Uderzyłeś w ścianę.","Duvara çarptın.","Narazil jsi do zdi.","Narazil si do steny.","Du körde in i väggen.","Du ramte muren.","Du traff veggen.","Törmäsit seinään.","Nekimentél a falnak.","Ai lovit peretele.","Ты врезался в стену.","Ти врізався в стіну.","Χτύπησες στον τοίχο.","Kamu menabrak dinding.","Bạn đã đâm vào tường."
T_TERRITORY,"Territory","Gebiet","Territoire","Territorio","Territorio","Território","Gebied","Terytorium","Bölge","Území","Územie","Territorium","Territorium","Territorium","Alue","Terület","Teritoriu","Территория","Територія","Έδαφος","Wilayah","Lãnh thổ"
T_KILLS,"Eliminations","Eliminierungen","Éliminations","Eliminazioni","Eliminaciones","Eliminações","Uitschakelingen","Eliminacje","Elemeler","Eliminace","Eliminácie","Elimineringar","Elimineringer","Elimineringer","Eliminoinnit","Kiütések","Eliminări","Ликвидации","Ліквідації","Εξοντώσεις","Eliminasi","Hạ gục"
T_NEW_BEST,"New best!","Neuer Rekord!","Nouveau record !","Nuovo record!","¡Nuevo récord!","Novo recorde!","Nieuw record!","Nowy rekord!","Yeni rekor!","Nový rekord!","Nový rekord!","Nytt rekord!","Ny rekord!","Ny rekord!","Uusi ennätys!","Új rekord!","Record nou!","Новый рекорд!","Новий рекорд!","Νέο ρεκόρ!","Rekor baru!","Kỷ lục mới!"
T_DOUBLE,"2× coins","2× Münzen","2× pièces","2× monete","2× monedas","2× moedas","2× munten","2× monety","2× altın","2× mince","2× mince","2× mynt","2× mønter","2× mynter","2× kolikot","2× érme","2× monede","Монеты ×2","Монети ×2","2× νομίσματα","2× koin","2× xu"
T_REVIVE,"Continue","Weitermachen","Continuer","Continua","Continuar","Continuar","Doorspelen","Kontynuuj","Devam et","Pokračovat","Pokračovať","Fortsätt","Fortsæt","Fortsett","Jatka","Folytatás","Continuă","Продолжить","Продовжити","Συνέχισε","Lanjutkan","Tiếp tục"
T_SOUND,"Sound","Ton","Son","Audio","Sonido","Som","Geluid","Dźwięk","Ses","Zvuk","Zvuk","Ljud","Lyd","Lyd","Äänet","Hang","Sunet","Звук","Звук","Ήχος","Suara","Âm thanh"
T_HAPTICS,"Vibration","Vibration","Vibrations","Vibrazione","Vibración","Vibração","Trillingen","Wibracje","Titreşim","Vibrace","Vibrácie","Vibration","Vibration","Vibrasjon","Värinä","Rezgés","Vibrații","Вибрация","Вібрація","Δόνηση","Getaran","Rung"
T_LANGUAGE,"Language","Sprache","Langue","Lingua","Idioma","Idioma","Taal","Język","Dil","Jazyk","Jazyk","Språk","Sprog","Språk","Kieli","Nyelv","Limbă","Язык","Мова","Γλώσσα","Bahasa","Ngôn ngữ"
T_SYS_LANG,"System","System","Système","Sistema","Sistema","Sistema","Systeem","Systemowy","Sistem","Systém","Systém","System","System","System","Järjestelmä","Rendszer","Sistem","Системный","Системна","Σύστημα","Sistem","Hệ thống"
T_PRIVACY,"Privacy Policy","Datenschutzerklärung","Politique de confidentialité","Informativa sulla privacy","Política de privacidad","Política de privacidade","Privacybeleid","Polityka prywatności","Gizlilik politikası","Zásady ochrany soukromí","Zásady ochrany súkromia","Integritetspolicy","Privatlivspolitik","Personvernerklæring","Tietosuojakäytäntö","Adatvédelmi irányelvek","Politica de confidențialitate","Политика конфиденциальности","Політика конфіденційності","Πολιτική απορρήτου","Kebijakan privasi","Chính sách quyền riêng tư"
T_VERSION,"Version","Version","Version","Versione","Versión","Versão","Versie","Wersja","Sürüm","Verze","Verzia","Version","Version","Versjon","Versio","Verzió","Versiune","Версия","Версія","Έκδοση","Versi","Phiên bản"
T_HELP_1,"Leave your land and you draw a line. Loop back home — everything inside becomes yours.","Verlässt du dein Gebiet, ziehst du eine Linie. Kehre heim und schließe die Schleife — alles darin gehört dir.","Quitte ton territoire et tu traces une ligne. Reviens chez toi : tout ce qui est entouré devient à toi.","Esci dal tuo territorio e lasci una scia. Torna a casa: tutto ciò che racchiudi diventa tuo.","Sal de tu territorio y dejarás una línea. Vuelve a casa: todo lo que encierres será tuyo.","Saia do seu território e você deixa uma linha. Volte para casa: tudo o que cercar vira seu.","Verlaat je gebied en je trekt een lijn. Keer terug naar huis — alles binnen de lus wordt van jou.","Poza swoim terenem rysujesz linię. Wróć do domu — wszystko w pętli staje się twoje.","Bölgenden çıkınca bir çizgi çizersin. Eve dön, çemberin içindeki her yer senin olur.","Mimo své území kreslíš čáru. Vrať se domů — vše uvnitř smyčky je tvoje.","Mimo svojho územia kreslíš čiaru. Vráť sa domov — všetko vo vnútri slučky je tvoje.","Utanför ditt område ritar du en linje. Ta dig hem igen — allt innanför blir ditt.","Uden for dit område tegner du en linje. Kom hjem igen — alt indenfor bliver dit.","Utenfor området ditt tegner du en linje. Kom deg hjem — alt innenfor blir ditt.","Alueesi ulkopuolella piirrät viivaa. Palaa kotiin — kaikki silmukan sisällä on sinun.","A területeden kívül vonalat húzol. Térj haza — minden, amit körbezársz, a tiéd lesz.","În afara teritoriului tău desenezi o linie. Întoarce-te acasă — tot ce închizi devine al tău.","За пределами своей земли ты рисуешь линию. Вернись домой — всё внутри петли станет твоим.","За межами своєї землі ти малюєш лінію. Повернись додому — все всередині петлі стане твоїм.","Έξω από την περιοχή σου αφήνεις μια γραμμή. Γύρνα σπίτι — ό,τι κλείσεις μέσα γίνεται δικό σου.","Keluar dari wilayahmu, kamu menggambar garis. Kembali ke wilayahmu — semua yang terkurung jadi milikmu.","Rời khỏi vùng đất của bạn, bạn sẽ vẽ một đường. Quay về nhà — mọi thứ bên trong vòng sẽ thuộc về bạn."
T_HELP_2,"Your line is your weak spot: if anyone touches it, you're out — even you!","Deine Linie ist dein Schwachpunkt: Berührt sie jemand, bist du raus — auch du selbst!","Ta ligne est ton point faible : si quelqu'un la touche, tu es éliminé — même toi !","La tua scia è il tuo punto debole: se qualcuno la tocca, sei fuori — anche tu!","Tu línea es tu punto débil: si alguien la toca, quedas fuera. ¡Incluso tú!","Sua linha é seu ponto fraco: se alguém tocar nela, você está fora — até você mesmo!","Je lijn is je zwakke plek: raakt iemand hem aan, dan lig je eruit — ook jijzelf!","Twoja linia to twój słaby punkt: jeśli ktoś jej dotknie, odpadasz — nawet ty!","Çizgin zayıf noktan: Biri ona dokunursa elenirsin — sen bile!","Tvoje čára je tvá slabina: když se jí někdo dotkne, končíš — i ty sám!","Tvoja čiara je tvoja slabina: keď sa jej niekto dotkne, končíš — aj ty sám!","Din linje är din svaga punkt: om någon rör den åker du ut — även du själv!","Din linje er dit svage punkt: Rører nogen den, er du ude — også dig selv!","Linjen din er ditt svake punkt: Rører noen den, er du ute — også du selv!","Viivasi on heikko kohtasi: jos joku koskee siihen, putoat pelistä — myös sinä itse!","A vonalad a gyenge pontod: ha bárki hozzáér, kiestél — még te magad is!","Linia ta e punctul tău slab: dacă cineva o atinge, ai ieșit — chiar și tu!","Твоя линия — твоё слабое место: если кто-то её коснётся, ты выбываешь. Даже ты сам!","Твоя лінія — твоє слабке місце: якщо хтось її торкнеться, ти вибуваєш. Навіть ти сам!","Η γραμμή σου είναι το αδύνατο σημείο σου: αν την αγγίξει κάποιος, βγαίνεις εκτός — ακόμα κι εσύ!","Garismu adalah titik lemahmu: jika ada yang menyentuhnya, kamu kalah — bahkan kamu sendiri!","Đường kẻ là điểm yếu của bạn: ai chạm vào là bạn bị loại — kể cả chính bạn!"
T_HELP_3,"Cut an enemy's line to knock them out. Their land turns free.","Kreuze die Linie eines Gegners, um ihn auszuschalten. Sein Gebiet wird wieder frei.","Coupe la ligne d'un adversaire pour l'éliminer. Son territoire redevient libre.","Taglia la scia di un avversario per eliminarlo. Il suo territorio torna libero.","Corta la línea de un rival para eliminarlo. Su territorio queda libre.","Corte a linha de um rival para eliminá-lo. O território dele fica livre.","Snijd de lijn van een tegenstander door om hem uit te schakelen. Zijn gebied komt vrij.","Przetnij linię przeciwnika, by go wyeliminować. Jego teren znów będzie wolny.","Rakibin çizgisini keserek onu ele. Bölgesi boşa çıkar.","Přetni čáru soupeře a vyřaď ho. Jeho území se uvolní.","Pretni čiaru súpera a vyraď ho. Jeho územie sa uvoľní.","Skär av en motståndares linje för att slå ut den. Området blir ledigt igen.","Skær en modstanders linje over for at slå vedkommende ud. Området bliver frit igen.","Kutt linjen til en motstander for å slå den ut. Området blir ledig igjen.","Katkaise vastustajan viiva pudottaaksesi hänet. Hänen alueensa vapautuu.","Vágd el az ellenfél vonalát, és kiütöd. A területe felszabadul.","Taie linia unui adversar ca să-l elimini. Teritoriul lui devine liber.","Пересеки линию соперника, чтобы выбить его. Его земля освободится.","Перетни лінію суперника, щоб вибити його. Його земля звільниться.","Κόψε τη γραμμή ενός αντιπάλου για να τον βγάλεις εκτός. Η περιοχή του ελευθερώνεται.","Potong garis lawan untuk menyingkirkannya. Wilayahnya jadi kosong.","Cắt đường của đối thủ để loại họ. Vùng đất của họ sẽ trống."
T_HELP_4,"Claim the whole arena to win. How far can you get?","Erobere die ganze Arena, um zu gewinnen. Wie weit kommst du?","Conquiers toute l'arène pour gagner. Jusqu'où iras-tu ?","Conquista tutta l'arena per vincere. Fin dove arriverai?","Conquista toda la arena para ganar. ¿Hasta dónde llegarás?","Conquiste toda a arena para vencer. Até onde você chega?","Verover de hele arena om te winnen. Hoe ver kom jij?","Zdobądź całą arenę, by wygrać. Jak daleko zajdziesz?","Kazanmak için tüm arenayı ele geçir. Ne kadar ilerleyebilirsin?","Ovládni celou arénu a vyhraj. Jak daleko se dostaneš?","Ovládni celú arénu a vyhraj. Ako ďaleko sa dostaneš?","Ta hela arenan för att vinna. Hur långt når du?","Indtag hele arenaen for at vinde. Hvor langt når du?","Ta hele arenaen for å vinne. Hvor langt når du?","Valtaa koko areena voittaaksesi. Kuinka pitkälle pääset?","Szerezd meg az egész arénát a győzelemhez. Meddig jutsz el?","Cucerește toată arena ca să câștigi. Cât de departe poți ajunge?","Захвати всю арену, чтобы победить. Как далеко ты зайдёшь?","Захопи всю арену, щоб перемогти. Як далеко ти зайдеш?","Κατάκτησε όλη την αρένα για να νικήσεις. Πόσο μακριά θα φτάσεις;","Kuasai seluruh arena untuk menang. Seberapa jauh kamu bisa?","Chiếm toàn bộ đấu trường để chiến thắng. Bạn có thể đi bao xa?"
T_NOT_ENOUGH,"Not enough coins yet!","Noch nicht genug Münzen!","Pas assez de pièces !","Non hai abbastanza monete!","¡Aún no tienes suficientes monedas!","Moedas insuficientes!","Nog niet genoeg munten!","Za mało monet!","Yeterli altın yok!","Zatím nemáš dost mincí!","Zatiaľ nemáš dosť mincí!","Inte tillräckligt med mynt än!","Ikke nok mønter endnu!","Ikke nok mynter ennå!","Ei vielä tarpeeksi kolikoita!","Még nincs elég érméd!","Nu ai destule monede!","Пока не хватает монет!","Поки не вистачає монет!","Δεν έχεις αρκετά νομίσματα ακόμα!","Koin belum cukup!","Chưa đủ xu!"
T_HINT_STEER,"Swipe to steer","Wische zum Lenken","Glisse pour diriger","Scorri per guidare","Desliza para girar","Deslize para virar","Veeg om te sturen","Przesuń palcem, by skręcać","Yönlendirmek için kaydır","Zatáčej tažením prstu","Zatáčaj ťahom prsta","Svep för att styra","Stryg for at styre","Sveip for å styre","Ohjaa pyyhkäisemällä","Húzd az ujjad a kanyarodáshoz","Glisează ca să virezi","Проведи пальцем, чтобы повернуть","Проведи пальцем, щоб повернути","Σύρε για να στρίψεις","Geser untuk belok","Vuốt để điều khiển"
T_DAILY,"Daily bonus!","Tagesbonus!","Bonus quotidien !","Bonus giornaliero!","¡Bono diario!","Bônus diário!","Dagelijkse bonus!","Dzienna premia!","Günlük bonus!","Denní bonus!","Denný bonus!","Daglig bonus!","Daglig bonus!","Daglig bonus!","Päivittäinen bonus!","Napi bónusz!","Bonus zilnic!","Ежедневный бонус!","Щоденний бонус!","Ημερήσιο μπόνους!","Bonus harian!","Thưởng hằng ngày!"
T_CONQUERED,"Conquered: %s!","Erobert: %s!","Conquis : %s !","Conquistato: %s!","¡Conquistado: %s!","Conquistado: %s!","Veroverd: %s!","Podbito: %s!","Fethedildi: %s!","Dobyto: %s!","Dobyté: %s!","Erövrat: %s!","Erobret: %s!","Erobret: %s!","Valloitettu: %s!","Meghódítva: %s!","Cucerit: %s!","Захвачено: %s!","Захоплено: %s!","Κατακτήθηκε: %s!","Ditaklukkan: %s!","Đã chiếm: %s!"
T_START_BIG,"Start big","Gross starten","Départ en grand","Parti in grande","Empieza en grande","Comece grande","Groot beginnen","Zacznij z rozmachem","Büyük başla","Začni ve velkém","Začni vo veľkom","Starta stort","Start stort","Start stort","Aloita isosti","Kezdj nagyban","Începe în forță","Начни с размахом","Почни з розмахом","Ξεκίνα στα μεγάλα","Mulai besar","Khởi đầu lớn"
T_NEXT_COUNTRY,"Next country","Nächstes Land","Pays suivant","Prossimo paese","Siguiente país","Próximo país","Volgend land","Następny kraj","Sonraki ülke","Další země","Ďalšia krajina","Nästa land","Næste land","Neste land","Seuraava maa","Következő ország","Următoarea țară","Следующая страна","Наступна країна","Επόμενη χώρα","Negara berikutnya","Quốc gia tiếp theo"
T_BLITZ,"Blitz","Blitz","Éclair","Lampo","Rayo","Relâmpago","Bliksem","Błysk","Yıldırım","Blesk","Blesk","Blixt","Lyn","Lyn","Salama","Villám","Fulger","Блиц","Бліц","Αστραπή","Kilat","Chớp nhoáng"
T_BLITZ_WIN,"Blitz won!","Blitz gewonnen!","Éclair gagné !","Lampo vinto!","¡Rayo ganado!","Relâmpago vencido!","Bliksem gewonnen!","Błysk wygrany!","Yıldırım kazanıldı!","Blesk vyhrán!","Blesk vyhraný!","Blixt vunnen!","Lyn vundet!","Lyn vunnet!","Salama voitettu!","Villám nyerve!","Fulger câștigat!","Блиц выигран!","Бліц виграно!","Νίκη αστραπή!","Kilat menang!","Thắng chớp nhoáng!"
T_BLITZ_RANK,"Rank %d","Platz %d","Rang %d","Posto %d","Puesto %d","Posição %d","Plek %d","Miejsce %d","Sıra %d","Pořadí %d","Poradie %d","Plats %d","Plads %d","Plass %d","Sija %d","%d. hely","Locul %d","Место %d","Місце %d","Θέση %d","Peringkat %d","Hạng %d"
T_MAP,"World map","Weltkarte","Carte du monde","Mappa del mondo","Mapa mundial","Mapa-múndi","Wereldkaart","Mapa świata","Dünya haritası","Mapa světa","Mapa sveta","Världskarta","Verdenskort","Verdenskart","Maailmankartta","Világtérkép","Harta lumii","Карта мира","Карта світу","Παγκόσμιος χάρτης","Peta dunia","Bản đồ thế giới"
T_LOCKED,"Locked","Gesperrt","Verrouillé","Bloccato","Bloqueado","Bloqueado","Vergrendeld","Zablokowane","Kilitli","Zamčeno","Zamknuté","Låst","Låst","Låst","Lukittu","Zárolva","Blocat","Заблокировано","Заблоковано","Κλειδωμένο","Terkunci","Đã khóa"
T_MI_PCT,"Capture %d%%","Erobere %d%%","Capture %d %%","Conquista il %d%%","Conquista el %d%%","Conquiste %d%%","Verover %d%%","Zdobądź %d%%","%%%d ele geçir","Ovládni %d%%","Ovládni %d%%","Erövra %d%%","Erobr %d%%","Erobre %d%%","Valtaa %d%%","Szerezz %d%%-ot","Cucerește %d%%","Захвати %d%%","Захопи %d%%","Κατάκτησε %d%%","Kuasai %d%%","Chiếm %d%%"
T_MI_KILLS,"Eliminate %d rivals","Schalte %d Gegner aus","Élimine %d rivaux","Elimina %d rivali","Elimina a %d rivales","Elimine %d rivais","Schakel %d rivalen uit","Wyeliminuj %d rywali","%d rakibi ele","Vyřaď %d soupeřů","Vyraď %d súperov","Slå ut %d rivaler","Slå %d rivaler ud","Slå ut %d rivaler","Kukista %d kilpailijaa","Győzz le %d riválist","Elimină %d rivali","Устрани %d соперников","Усунь %d суперників","Εξολόθρευσε %d αντιπάλους","Kalahkan %d rival","Hạ %d đối thủ"
T_MAP_HINT,"Reach 100% to unlock the next country.","Erreiche 100%, um das nächste Land freizuschalten.","Atteins 100% pour débloquer le pays suivant.","Raggiungi il 100% per sbloccare il prossimo paese.","Alcanza el 100% para desbloquear el siguiente país.","Alcance 100% para desbloquear o próximo país.","Bereik 100% om het volgende land te ontgrendelen.","Zdobądź 100%, aby odblokować kolejny kraj.","Sonraki ülkeyi açmak için %%100 ulaş.","Dosáhni 100% pro odemknutí další země.","Dosiahni 100% pre odomknutie ďalšej krajiny.","Nå 100% för att låsa upp nästa land.","Nå 100% for at låse op for næste land.","Nå 100% for å låse opp neste land.","Saavuta 100% avataksesi seuraavan maan.","Érj el 100%-ot a következő ország feloldásához.","Atinge 100% pentru a debloca următoarea țară.","Достигни 100%, чтобы открыть следующую страну.","Досягни 100%, щоб відкрити наступну країну.","Φτάσε στο 100% για να ξεκλειδώσεις την επόμενη χώρα.","Capai 100% untuk membuka negara berikutnya.","Đạt 100% để mở khóa quốc gia tiếp theo."
T_MAP_NEXT,"Next: %s","Nächstes: %s","Suivant : %s","Prossimo: %s","Siguiente: %s","Próximo: %s","Volgende: %s","Następny: %s","Sonraki: %s","Další: %s","Ďalšie: %s","Nästa: %s","Næste: %s","Neste: %s","Seuraava: %s","Következő: %s","Următorul: %s","Далее: %s","Далі: %s","Επόμενο: %s","Berikutnya: %s","Tiếp theo: %s"
T_HERO_AT,"★ %d lands","★ %d Länder","★ %d pays","★ %d paesi","★ %d países","★ %d países","★ %d landen","★ %d krajów","★ %d ülke","★ %d zemí","★ %d krajín","★ %d länder","★ %d lande","★ %d land","★ %d maata","★ %d ország","★ %d țări","★ %d стран","★ %d країн","★ %d χώρες","★ %d negara","★ %d nước"
T_HERO_LOCKED,"Conquer %d countries to earn this hero","Erobere %d Länder für diesen Helden","Conquiers %d pays pour ce héros","Conquista %d paesi per questo eroe","Conquista %d países para este héroe","Conquiste %d países por este herói","Verover %d landen voor deze held","Podbij %d krajów, by zdobyć bohatera","Bu kahraman için %d ülke fethet","Dobyj %d zemí pro tohoto hrdinu","Dobyť %d krajín pre tohto hrdinu","Erövra %d länder för denna hjälte","Erobr %d lande for denne helt","Erobre %d land for denne helten","Valloita %d maata tälle sankarille","Hódíts meg %d országot ezért a hősért","Cucerește %d țări pentru acest erou","Захвати %d стран для этого героя","Захопи %d країн для цього героя","Κατάκτησε %d χώρες για αυτόν τον ήρωα","Taklukkan %d negara untuk pahlawan ini","Chinh phục %d quốc gia để có anh hùng này"
T_HERO_NEW,"New hero: %s!","Neuer Held: %s!","Nouveau héros : %s !","Nuovo eroe: %s!","¡Nuevo héroe: %s!","Novo herói: %s!","Nieuwe held: %s!","Nowy bohater: %s!","Yeni kahraman: %s!","Nový hrdina: %s!","Nový hrdina: %s!","Ny hjälte: %s!","Ny helt: %s!","Ny helt: %s!","Uusi sankari: %s!","Új hős: %s!","Erou nou: %s!","Новый герой: %s!","Новий герой: %s!","Νέος ήρωας: %s!","Pahlawan baru: %s!","Anh hùng mới: %s!"
